(5301, ('scatter', 1, datetime.datetime(2020, 8, 25, 10, 2, 10)))
(9618, ('synchronize', 1, datetime.datetime(2020, 8, 25, 16, 51, 50)))
(65967, ('license plate', 1, datetime.datetime(2020, 8, 25, 17, 3, 12)))
(4672, ('plate', 1, datetime.datetime(2020, 8, 25, 17, 3, 12)))
(12228, ('caravan', 1, datetime.datetime(2020, 8, 26, 9, 41, 9)))
(22106, ('trailer', 1, datetime.datetime(2020, 8, 26, 9, 41, 9)))
(19997, ('statistic', 1, datetime.datetime(2020, 8, 26, 10, 53, 28)))
(6420, ('vehicle', 1, datetime.datetime(2020, 8, 26, 10, 53, 28)))
(11206, ('sanity', 1, datetime.datetime(2020, 8, 26, 11, 48, 33)))
(12780, ('denominator', 1, datetime.datetime(2020, 8, 26, 13, 10, 20)))
(12778, ('denominate', 1, datetime.datetime(2020, 8, 26, 13, 10, 20)))
(432847, ('indices', 1, datetime.datetime(2020, 8, 26, 14, 37, 49)))
(5305, ('schedule', 1, datetime.datetime(2020, 8, 28, 10, 6, 54)))
(351529, ('scheduler', 1, datetime.datetime(2020, 8, 28, 14, 53, 3)))
(3191, ('hook', 1, datetime.datetime(2020, 8, 28, 15, 23, 32)))
(313396, ('panoptic', 1, datetime.datetime(2020, 8, 28, 17, 57, 56)))
(5145, ('revise', 1, datetime.datetime(2020, 8, 31, 15, 27, 12)))
(11313, ('sparse', 1, datetime.datetime(2020, 8, 31, 15, 36, 9)))
(42623, ('ablation', 1, datetime.datetime(2020, 9, 1, 11, 30, 50)))
(5033, ('register', 1, datetime.datetime(2020, 9, 1, 11, 42, 42)))
(20831, ('archive', 1, datetime.datetime(2020, 9, 3, 10, 59, 31)))
(25210, ('registry', 1, datetime.datetime(2020, 9, 3, 17, 14, 38)))
(7639, ('kidney', 1, datetime.datetime(2020, 9, 4, 11, 0, 45)))
(16244, ('spleen', 1, datetime.datetime(2020, 9, 4, 11, 0, 45)))
(14965, ('override', 1, datetime.datetime(2020, 9, 7, 21, 30, 33)))
(9407, ('excitation', 1, datetime.datetime(2020, 9, 7, 21, 49, 50)))
(5707, ('squeeze', 1, datetime.datetime(2020, 9, 7, 21, 49, 50)))
(587, ('parameter', 1, datetime.datetime(2020, 9, 11, 10, 56, 5)))
(47605, ('Stanford', 1, datetime.datetime(2020, 9, 11, 10, 56, 5)))
(34855, ('atrium', 1, datetime.datetime(2020, 9, 14, 10, 27, 11)))
(57513, ('ventricle', 1, datetime.datetime(2020, 9, 14, 10, 27, 11)))
(12665, ('cumulative', 1, datetime.datetime(2020, 9, 15, 14, 33, 33)))
(11530, ('verbose', 1, datetime.datetime(2020, 9, 16, 14, 10, 20)))
(15534, ('pulmonary', 1, datetime.datetime(2020, 9, 17, 22, 22, 50)))
(11891, ('artery', 1, datetime.datetime(2020, 9, 17, 22, 22, 50)))
(12231, ('cardiac', 1, datetime.datetime(2020, 9, 17, 22, 22, 50)))
(4620, ('phase', 1, datetime.datetime(2020, 9, 18, 11, 26, 31)))
(7566, ('inference', 1, datetime.datetime(2020, 9, 18, 11, 26, 31)))
(18733, ('panoramic', 1, datetime.datetime(2020, 9, 19, 20, 47, 41)))
(14997, ('palette', 1, datetime.datetime(2020, 9, 20, 21, 21, 14)))
(11819, ('aorta', 1, datetime.datetime(2020, 9, 21, 17, 36, 17)))
(3499, ('interval', 1, datetime.datetime(2020, 9, 24, 10, 11, 58)))
(4621, ('phenomenon', 1, datetime.datetime(2020, 9, 25, 14, 43, 23)))
(6430, ('vessel', 1, datetime.datetime(2020, 9, 25, 15, 36, 47)))
(12215, ('canonical', 1, datetime.datetime(2020, 9, 25, 21, 24, 25)))
(25228, ('materialise', 1, datetime.datetime(2020, 10, 10, 10, 5, 24)))
(3981, ('material', 1, datetime.datetime(2020, 10, 10, 10, 5, 24)))
(12604, ('coverage', 1, datetime.datetime(2020, 10, 15, 9, 44, 54)))
(9542, ('obsolete', 1, datetime.datetime(2020, 10, 15, 9, 44, 54)))
(12763, ('delve', 1, datetime.datetime(2020, 10, 15, 10, 25, 41)))
(58716, ('lithography', 1, datetime.datetime(2020, 10, 16, 16, 14, 7)))
(8227, ('stereo', 1, datetime.datetime(2020, 10, 16, 16, 14, 7)))
(15418, ('pristine', 1, datetime.datetime(2020, 10, 21, 9, 20, 59)))
(19651, ('portal', 1, datetime.datetime(2020, 10, 27, 20, 23, 54)))
(13752, ('hepatic', 1, datetime.datetime(2020, 10, 27, 20, 23, 54)))
(8402, ('vein', 1, datetime.datetime(2020, 10, 27, 20, 23, 54)))
(2837, ('geometry', 1, datetime.datetime(2020, 10, 28, 0, 45, 23)))
(18403, ('deprecate', 1, datetime.datetime(2020, 10, 29, 13, 13, 57)))
(43555, ('instantiate', 1, datetime.datetime(2020, 10, 29, 17, 45, 27)))
(258673, ('instantiation', 1, datetime.datetime(2020, 10, 29, 17, 45, 27)))
(12488, ('cone', 1, datetime.datetime(2020, 10, 29, 21, 17, 14)))
(324652, ('polygonal', 1, datetime.datetime(2020, 10, 29, 21, 17, 14)))
(61, ('manipulate', 1, datetime.datetime(2020, 10, 29, 23, 7, 42)))
(24503, ('geometric', 1, datetime.datetime(2020, 10, 30, 23, 56, 31)))
(18497, ('extrude', 1, datetime.datetime(2020, 10, 31, 0, 41, 10)))
(16794, ('vertex', 1, datetime.datetime(2020, 10, 31, 1, 35, 49)))
(27345, ('topology', 1, datetime.datetime(2020, 10, 31, 11, 54, 55)))
(15343, ('pragmatic', 1, datetime.datetime(2020, 11, 1, 15, 48, 50)))
(10881, ('novice', 1, datetime.datetime(2020, 11, 1, 15, 53, 15)))
(17293, ('contour', 1, datetime.datetime(2020, 11, 1, 17, 3, 42)))
(42245, ('isotherm', 1, datetime.datetime(2020, 11, 1, 17, 7, 46)))
(4793, ('primitive', 1, datetime.datetime(2020, 11, 1, 17, 58, 42)))
(12552, ('convex', 1, datetime.datetime(2020, 11, 1, 17, 58, 42)))
(5680, ('sphere', 1, datetime.datetime(2020, 11, 1, 18, 19, 3)))
(407797, ('voxel', 1, datetime.datetime(2020, 11, 1, 18, 19, 3)))
(8258, ('suffice', 1, datetime.datetime(2020, 11, 1, 19, 39, 12)))
(22523, ('potentially', 1, datetime.datetime(2020, 11, 1, 19, 39, 12)))
(46534, ('spline', 1, datetime.datetime(2020, 11, 1, 19, 39, 12)))
(28299, ('invariant', 1, datetime.datetime(2020, 11, 1, 20, 7, 9)))
(15302, ('polygon', 1, datetime.datetime(2020, 11, 1, 20, 7, 9)))
(39353, ('inertial', 1, datetime.datetime(2020, 11, 1, 20, 7, 9)))
(53285, ('tessellation', 1, datetime.datetime(2020, 11, 1, 20, 25, 56)))
(1802, ('consequence', 1, datetime.datetime(2020, 11, 1, 20, 25, 56)))
(245899, ('hexahedron', 1, datetime.datetime(2020, 11, 1, 20, 55, 3)))
(56682, ('tetrahedron', 1, datetime.datetime(2020, 11, 1, 20, 55, 3)))
(7019, ('composite', 1, datetime.datetime(2020, 11, 1, 21, 3, 24)))
(96, ('strip', 1, datetime.datetime(2020, 11, 1, 21, 3, 24)))
(2438, ('evident', 1, datetime.datetime(2020, 11, 1, 21, 3, 24)))
(15576, ('quadrilateral', 1, datetime.datetime(2020, 11, 2, 0, 59, 20)))
(7902, ('perpendicular', 1, datetime.datetime(2020, 11, 2, 1, 10, 16)))
(316789, ('pentagonal', 1, datetime.datetime(2020, 11, 2, 1, 24, 1)))
(8449, ('wedge', 1, datetime.datetime(2020, 11, 2, 1, 24, 1)))
(7969, ('prism', 1, datetime.datetime(2020, 11, 2, 1, 24, 1)))
(3975, ('mass', 1, datetime.datetime(2020, 11, 2, 8, 55, 41)))
(5151, ('ribbon', 1, datetime.datetime(2020, 11, 2, 8, 55, 41)))
(13631, ('graphic', 1, datetime.datetime(2020, 11, 2, 11, 45, 47)))
(6594, ('wire', 1, datetime.datetime(2020, 11, 2, 14, 17, 42)))
(11474, ('truce', 1, datetime.datetime(2020, 11, 2, 14, 17, 42)))
(1941, ('curse', 1, datetime.datetime(2020, 11, 2, 14, 39, 20)))
(7650, ('lattice', 1, datetime.datetime(2020, 11, 2, 14, 39, 20)))
(9710, ('aggregate', 1, datetime.datetime(2020, 11, 2, 20, 23, 24)))
(9323, ('conserve', 1, datetime.datetime(2020, 11, 3, 10, 43, 36)))
(96098, ('decrement', 1, datetime.datetime(2020, 11, 3, 10, 43, 36)))
(11116, ('reconstruct', 1, datetime.datetime(2020, 11, 10, 9, 28, 12)))
(62144, ('deconstruct', 1, datetime.datetime(2020, 11, 10, 9, 28, 12)))
(712, ('mandatory', 1, datetime.datetime(2020, 11, 11, 10, 40, 31)))
(15023, ('paranoid', 1, datetime.datetime(2020, 11, 11, 10, 44, 13)))
(647, ('manifest', 1, datetime.datetime(2020, 11, 11, 13, 28, 3)))
(22878, ('condensed', 1, datetime.datetime(2020, 11, 13, 21, 38, 29)))
(9365, ('discriminate', 1, datetime.datetime(2020, 11, 16, 15, 28, 44)))
(4726, ('portrait', 1, datetime.datetime(2020, 11, 16, 15, 30, 13)))
(13698, ('halo', 1, datetime.datetime(2020, 11, 16, 15, 30, 13)))
(17288, ('contamination', 1, datetime.datetime(2020, 11, 16, 15, 30, 13)))
(24832, ('decathlon', 1, datetime.datetime(2020, 11, 16, 16, 34, 14)))
(40901, ('ordinal', 1, datetime.datetime(2020, 11, 16, 16, 34, 14)))
(405121, ('verbosity', 1, datetime.datetime(2020, 11, 17, 17, 37, 34)))
(3426, ('inefficient', 1, datetime.datetime(2020, 11, 17, 22, 31, 52)))
(17491, ('frustrating', 1, datetime.datetime(2020, 11, 17, 22, 31, 52)))
(11422, ('temporal', 1, datetime.datetime(2020, 11, 17, 22, 31, 52)))
(10109, ('cumbersome', 1, datetime.datetime(2020, 11, 17, 23, 14, 58)))
(17512, ('graphics', 1, datetime.datetime(2020, 11, 17, 23, 14, 58)))
(34171, ('isomorphic', 1, datetime.datetime(2020, 11, 18, 14, 47, 57)))
(195466, ('deformable', 1, datetime.datetime(2020, 11, 20, 10, 38, 4)))
(7052, ('correspondence', 1, datetime.datetime(2020, 11, 20, 10, 47, 18)))
(11431, ('texture', 1, datetime.datetime(2020, 11, 20, 10, 47, 18)))
(10152, ('delineate', 1, datetime.datetime(2020, 11, 20, 10, 52, 24)))
(5926, ('synthetic', 1, datetime.datetime(2020, 11, 20, 11, 8, 25)))
(26175, ('geodesic', 1, datetime.datetime(2020, 11, 20, 11, 28, 45)))
(16565, ('torso', 1, datetime.datetime(2020, 11, 20, 11, 28, 45)))
(314038, ('parametrize', 1, datetime.datetime(2020, 11, 20, 11, 43, 51)))
(314029, ('parameterize', 1, datetime.datetime(2020, 11, 20, 11, 54, 56)))
(9891, ('boon', 1, datetime.datetime(2020, 11, 20, 11, 54, 56)))
(6655, ('wrap', 1, datetime.datetime(2020, 11, 20, 15, 31, 20)))
(16869, ('warp', 1, datetime.datetime(2020, 11, 20, 15, 31, 20)))
(11415, ('tedium', 1, datetime.datetime(2020, 11, 20, 15, 31, 20)))
(18937, ('trident', 1, datetime.datetime(2020, 12, 4, 12, 36, 36)))
(2744, ('foundation', 1, datetime.datetime(2020, 12, 4, 16, 21, 30)))
(10831, ('miscellaneous', 1, datetime.datetime(2020, 12, 9, 11, 14, 4)))
(64704, ('misc', 1, datetime.datetime(2020, 12, 9, 11, 14, 4)))
(32558, ('focal', 1, datetime.datetime(2020, 12, 9, 11, 26, 29)))
(11704, ('agnostic', 1, datetime.datetime(2020, 12, 9, 13, 29, 40)))
(8247, ('subdivide', 1, datetime.datetime(2020, 12, 15, 17, 18, 34)))
(34282, ('chamfer', 1, datetime.datetime(2020, 12, 16, 15, 21, 55)))
(272371, ('laplacian', 1, datetime.datetime(2020, 12, 16, 15, 21, 55)))
(1685, ('column', 1, datetime.datetime(2020, 12, 17, 21, 49, 28)))
(14433, ('lullaby', 1, datetime.datetime(2020, 12, 21, 16, 52, 29)))
(5380, ('separate', 1, datetime.datetime(2020, 12, 23, 14, 24, 41)))
(39901, ('transduction', 1, datetime.datetime(2021, 1, 5, 17, 12, 16)))
(16663, ('ubiquitous', 1, datetime.datetime(2021, 1, 7, 10, 22, 24)))
(22647, ('mindless', 1, datetime.datetime(2021, 1, 7, 10, 22, 24)))
(83186, ('sinusoid', 1, datetime.datetime(2021, 1, 7, 20, 42, 40)))
